Id,Itinerário,Distância KM
AB9154,(ONNO)RONDONOPOLIS->(1987484)CONFRESA,944
AB9742,(BARCARENA)BARCARENA->(1987519)CONFRESA,1.265
AA7158,(FERTIPAR)RONDONOPOLIS->NOVA MARINGA,587
AB9233,(FERTIPAR)RONDONOPOLIS->(2348054)NOVA MA,585
AB8290,(50521277)AGUA BOA->(1002466)FORMOSA DO,1.200
AB5069,(MULTI)RONDONOPOLIS->(1825749)BAIXA GRAN,2.152
AB8634,(CIBRAFERTIL)RONDONOPOLIS->(1459139)IPIR,655
AB9231,(CIBRAFERTIL)CAMPO GRANDE->(2075712)SINO,1.185
AC0410,Paranagua-Pr-> Campo Novo - MT,453
AC0983,(RONDONOPOLIS)RONDONOPOLIS->(2275187)NOV,551
AA3779,(FERT)SAO LUIS->CAROLINA,841
AA4086,(2166)BALSAS->RIBEIRO GONCALVES,117
AB4871,(Orígeo)Cuiabá->TESOURO,376
AB9741,(BARCARENA)BARCARENA->(1455150)SORRISO,1.982
AB3844,CUIABA-MT > SAO FELIX DO ARAGUAIA - MT,1.002
AB7164,(Orígeo)CUIABA->(2071868)ITANHANGÁ,546
AB9232,(FERTIPAR)RONDONOPOLIS->(2128027)ITANHAN,670
AA3843,(FERT)SAO LUIS->URUCUI,663
AB3841,(Orígeo)CUIABA->(1426907)COXIM,457
AC1478,(RONDONOPOLIS - MT)RONDONOPOLIS->(142690,241
AA4143,(2167)ARAGUAINA->DIV. DO TOCANTINS,415
AB4976,(origeo)CUIABA->(2341200)VERA,457
AC0300,(UBERLANDIA)UBERLANDIA->(1003626)BAIXA G,1.710
AA3727,(FERT)CANDEIAS->MATEIROS,1.818
AC0427,(UBERLANDIA)UBERLANDIA->(1105976)MONTE A,1.313
AC0772,(BURITIS)BURITIS->(1614394)QUERENCIA,1.083
AC0966,(ADVANTA COM SEMENTES)UBERLANDIA->(22497,1.481
AC0967,(ADVANTA COM SEMENTES)UBERLANDIA->(20149,1.953
AA3807,(FERT)SAO LUIS->MATA ROMA,282
AC1100,(UBERLANDIA - MG)UBERLANDIA->(2097175)SA,1.514
AC0711,(CUIABA-MT )CUIABA->(2320309)CUIABA,60
AA3816,(FERT)SAO LUIS->NOVA ROSALANDIA,1.267
AC0323,(RONDONOPOLIS)RONDONOPOLIS->(1652836)NOV,458
